Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SummaryTestSuite,Chrome 67.0.3396.62,,2018-07-13 15:57:34,2018-07-13 16:01:44,4m - 9.947s,PASSED
,,,,,,
Test Cases/SummaryTestCases/AlocSpoc_Comment,Chrome 67.0.3396.62,,2018-07-13 15:57:35,2018-07-13 15:58:16,40.560s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 15:57:35,2018-07-13 15:58:06,30.248s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:06,2018-07-13 15:58:06,0.069s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:58:06,2018-07-13 15:58:06,0.227s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:06,2018-07-13 15:58:06,0.055s,PASSED
verifyElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:06,2018-07-13 15:58:06,0.095s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 15:58:06,2018-07-13 15:58:13,7.012s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:13,2018-07-13 15:58:13,0.113s,PASSED
sendKeys,Chrome 67.0.3396.62,,2018-07-13 15:58:13,2018-07-13 15:58:14,0.466s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:58:14,2018-07-13 15:58:14,0.212s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:14,2018-07-13 15:58:15,0.611s,PASSED
Statement - AddCommentToast = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Summary_Page/Comment_ToastHeader)),Chrome 67.0.3396.62,,2018-07-13 15:58:15,2018-07-13 15:58:15,0.176s,PASSED
closeBrowser,Chrome 67.0.3396.62,,2018-07-13 15:58:15,2018-07-13 15:58:16,0.817s,PASSED
,,,,,,
Test Cases/SummaryTestCases/MAL_Comment,Chrome 67.0.3396.62,,2018-07-13 15:58:16,2018-07-13 15:58:48,32.607s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-13 15:58:16,2018-07-13 15:58:41,24.923s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-13 15:58:41,2018-07-13 15:58:46,5.004s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:46,2018-07-13 15:58:46,0.102s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:58:46,2018-07-13 15:58:46,0.299s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:46,2018-07-13 15:58:47,0.657s,PASSED
click,Chrome 67.0.3396.62,,2018-07-13 15:58:47,2018-07-13 15:58:47,0.306s,PASSED
verifyElementNotPresent,Chrome 67.0.3396.62,,2018-07-13 15:58:47,2018-07-13 15:58:47,0.167s,PASSED
