Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserHistoryTestSuite,Chrome 67.0.3396.62,,2018-07-25 13:05:29,2018-07-25 13:07:39,2m - 10.148s,FAILED
,,,,,,
Test Cases/UserHIstoryTestCases/Verify_display_of_HistoryPage,Chrome 67.0.3396.62,,2018-07-25 13:05:33,2018-07-25 13:06:26,52.682s,FAILED
callTestCase,Chrome 67.0.3396.62,,2018-07-25 13:05:33,2018-07-25 13:05:56,23.097s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:05:56,2018-07-25 13:05:59,3.010s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:05:59,2018-07-25 13:06:04,5.006s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:06:04,2018-07-25 13:06:04,0.081s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:04,2018-07-25 13:06:05,0.248s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:06:05,2018-07-25 13:06:10,5.002s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:06:10,2018-07-25 13:06:10,0.067s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:10,2018-07-25 13:06:10,0.207s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:06:10,2018-07-25 13:06:10,0.069s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:10,2018-07-25 13:06:10,0.155s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:06:10,2018-07-25 13:06:15,5.005s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:15,2018-07-25 13:06:15,0.183s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:06:15,2018-07-25 13:06:25,10.003s,PASSED
Statement - rescue = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_History_Page/History_RescueStrategy)),Chrome 67.0.3396.62,,2018-07-25 13:06:25,2018-07-25 13:06:25,0.138s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-25 13:06:25,2018-07-25 13:06:26,0.113s,PASSED
verifyMatch,Chrome 67.0.3396.62,,2018-07-25 13:06:26,2018-07-25 13:06:26,0.102s,FAILED
,,,,,,
Test Cases/UserHIstoryTestCases/Verify_MALSKU_MovesToHistory,Chrome 67.0.3396.62,"To check if SKU's moves from \""Workbench\"" to \""History\"" on successful rescue",2018-07-25 13:06:26,2018-07-25 13:07:39,1m - 13.035s,PASSED
callTestCase,Chrome 67.0.3396.62,,2018-07-25 13:06:26,2018-07-25 13:06:48,21.686s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:06:48,2018-07-25 13:06:51,3.003s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:51,2018-07-25 13:06:51,0.160s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:51,2018-07-25 13:06:51,0.116s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:06:51,2018-07-25 13:06:56,5.003s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:06:56,0.075s,PASSED
Statement - SKUID = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Workbench_Page/1st_SKUMaterial)),Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:06:56,0.070s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:06:56,0.041s,PASSED
scrollToElement,Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:06:56,0.030s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:06:56,0.199s,PASSED
applicationLibrary.ClicksOn1stBatchof_SKUID_andgetsBatchNo.ClickOnSKUInprogressBatch,Chrome 67.0.3396.62,,2018-07-25 13:06:56,2018-07-25 13:07:02,5.499s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:07:02,2018-07-25 13:07:05,3.005s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:07:05,2018-07-25 13:07:05,0.064s,PASSED
click,Chrome 67.0.3396.62,,2018-07-25 13:07:05,2018-07-25 13:07:05,0.246s,PASSED
delay,Chrome 67.0.3396.62,,2018-07-25 13:07:05,2018-07-25 13:07:10,5.004s,PASSED
waitForElementPresent,Chrome 67.0.3396.62,,2018-07-25 13:07:10,2018-07-25 13:07:10,0.072s,PASSED
Statement - ActionTakenHTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Workbench_Page/ActionTaken_HeaderTxt)),Chrome 67.0.3396.62,,2018-07-25 13:07:10,2018-07-25 13:07:10,0.085s,PASSED
Statement - ActionTakenCTxt = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OMVA_Workbench_Page/ActionTaken_ContenetTxt)),Chrome 67.0.3396.62,,2018-07-25 13:07:10,2018-07-25 13:07:10,0.084s,PASSED
