Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserManagementTestSuite,Chrome 67.0.3396.99,,2018-07-11 10:16:11,2018-07-11 10:18:34,2m - 22.701s,FAILED
,,,,,,
Test Cases/UserManagementTestCases/UserActions/Activate_User,Chrome 67.0.3396.99,This Scenario logs into the superadmin and finds the inactive user which is to be activated and activates it.Also validates the popup and toast messages,2018-07-11 10:16:12,2018-07-11 10:16:51,38.976s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 10:16:14,2018-07-11 10:16:33,18.795s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-11 10:16:33,2018-07-11 10:16:33,0.455s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-11 10:16:33,2018-07-11 10:16:34,0.724s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 10:16:34,2018-07-11 10:16:34,0.113s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-11 10:16:34,2018-07-11 10:16:35,0.593s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-11 10:16:35,2018-07-11 10:16:35,0.169s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 10:16:35,2018-07-11 10:16:35,0.098s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 10:16:35,2018-07-11 10:16:40,5.008s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-11 10:16:40,2018-07-11 10:16:40,0.101s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 10:16:40,2018-07-11 10:16:43,2.988s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 10:16:43,2018-07-11 10:16:43,0.282s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 10:16:43,2018-07-11 10:16:48,5.009s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-11 10:16:48,2018-07-11 10:16:48,0.074s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 10:16:48,2018-07-11 10:16:48,0.079s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-11 10:16:48,2018-07-11 10:16:48,0.053s,PASSED
