Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WorkBenchTestSuite,Chrome 67.0.3396.99,,2018-07-11 14:03:09,2018-07-11 14:09:41,6m - 32.170s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforMAL,Chrome 67.0.3396.99,To verify the count listed under workbench should match with the count in summary,2018-07-11 14:03:10,2018-07-11 14:04:15,1m - 4.953s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:03:10,2018-07-11 14:04:15,1m - 4.540s,FAILED
,,,,,,
Test Cases/SummaryTestCases/SKU_Count,Chrome 67.0.3396.99,,2018-07-11 14:04:15,2018-07-11 14:08:27,4m - 12.901s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:04:15,2018-07-11 14:08:27,4m - 12.649s,FAILED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_MatchOfPendingTaskForSumaryandWBforChanMSP,Chrome 67.0.3396.99,Verify if Category MS&P is authorised to do Increase allocation \n Increase allocation should only be readable for Category MS&P,2018-07-11 14:08:27,2018-07-11 14:09:10,42.578s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:08:28,2018-07-11 14:08:52,24.685s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:08:52,2018-07-11 14:08:57,5.008s,PASSED
Statement - ChanMSP_WB_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_WBScreen.Get_PendingTask_Count_WBscreen(),Chrome 67.0.3396.99,,2018-07-11 14:08:57,2018-07-11 14:08:58,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:08:58,2018-07-11 14:08:58,0.174s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:08:58,2018-07-11 14:09:03,5.010s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-11 14:09:03,2018-07-11 14:09:03,0.064s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:09:03,2018-07-11 14:09:03,0.100s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-11 14:09:03,2018-07-11 14:09:03,0.025s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:09:03,2018-07-11 14:09:03,0.095s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:09:03,2018-07-11 14:09:08,5.003s,PASSED
Statement - ChanMSP_S_Count = CustomKeywords.applicationLibrary.GetsPendingTaskCount_ChanMSP_SummaryScreen.Get_ChanMSPPendingTask_Count_Summaryscreen(),Chrome 67.0.3396.99,,2018-07-11 14:09:08,2018-07-11 14:09:08,0.065s,PASSED
verifyEqual,Chrome 67.0.3396.99,,2018-07-11 14:09:08,2018-07-11 14:09:08,0.018s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:09:08,2018-07-11 14:09:10,1.899s,PASSED
,,,,,,
Test Cases/WorkBenchTestCases/Verify_DisplayOfHomePageForAllocSPOC,Chrome 67.0.3396.99,Testcase to verifyAlloc SPOC home page contains only summary and History and not workbench,2018-07-11 14:09:10,2018-07-11 14:09:41,31.183s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:09:10,2018-07-11 14:09:34,24.270s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:09:34,2018-07-11 14:09:39,5.004s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-11 14:09:39,2018-07-11 14:09:40,0.066s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-11 14:09:40,2018-07-11 14:09:40,0.048s,PASSED
verifyElementNotPresent,Chrome 67.0.3396.99,,2018-07-11 14:09:40,2018-07-11 14:09:40,0.037s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-11 14:09:40,2018-07-11 14:09:41,1.610s,PASSED
